date,sentiment,losing_day
2023-05-01,Greed,0
2023-12-14,Greed,1
2023-12-15,Greed,1
2023-12-16,Greed,0
2023-12-17,Greed,0
2023-12-18,Greed,0
2023-12-19,Greed,0
2023-12-20,Greed,0
2023-12-21,Greed,0
2023-12-22,Greed,0
2023-12-23,Greed,0
2023-12-24,Greed,0
2023-12-25,Greed,1
2023-12-27,Greed,1
2023-12-28,Greed,1
2023-12-29,Greed,0
2023-12-30,Greed,0
2024-01-01,Greed,1
2024-01-02,Greed,0
2024-01-03,Greed,0
2024-01-04,Greed,1
2024-01-05,Greed,0
2024-01-06,Greed,0
2024-01-07,Greed,1
2024-01-08,Greed,1
2024-01-10,Greed,1
2024-01-12,Greed,1
2024-01-16,Greed,1
2024-01-16,Greed,0
2024-01-17,Greed,0
2024-01-18,Greed,0
2024-01-21,Greed,0
2024-01-22,Greed,0
2024-01-22,Greed,0
2024-01-29,Greed,0
2024-01-29,Greed,0
2024-01-30,Greed,1
2024-01-31,Greed,1
2024-02-01,Greed,0
2024-02-02,Greed,0
2024-02-03,Greed,0
2024-02-04,Greed,0
2024-02-05,Greed,1
2024-02-06,Greed,1
2024-02-07,Greed,0
2024-02-08,Greed,0
2024-02-11,Greed,0
2024-02-12,Greed,0
2024-02-14,Greed,0
2024-02-14,Greed,0
2024-02-15,Greed,0
2024-02-15,Greed,0
2024-02-16,Greed,0
2024-02-16,Greed,0
2024-02-18,Greed,0
2024-02-20,Greed,0
2024-02-20,Greed,0
2024-02-22,Greed,0
2024-02-22,Greed,0
2024-02-25,Greed,1
2024-02-26,Greed,0
2024-02-26,Greed,0
2024-03-20,Greed,0
2024-03-20,Greed,0
2024-03-24,Greed,0
2024-04-03,Greed,0
2024-04-03,Greed,0
2024-04-04,Greed,0
2024-04-13,Greed,0
2024-04-13,Greed,0
2024-04-14,Greed,1
2024-04-14,Greed,0
2024-04-15,Greed,0
2024-04-15,Greed,0
2024-04-16,Greed,0
2024-04-16,Greed,0
2024-04-17,Greed,0
2024-04-19,Greed,0
2024-04-20,Greed,0
2024-04-20,Greed,0
2024-04-22,Greed,0
2024-04-23,Greed,0
2024-04-23,Greed,0
2024-04-24,Greed,0
2024-04-25,Greed,0
2024-04-25,Greed,0
2024-04-26,Greed,0
